Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
96,Gardner-Webb,33,17,16,.515,-4.66,-1.73,,11,5,,9,4,,6,8,,2426,2414,,70.2,103.5,.352,.362,.522,51.2,48.3,8.2,6.2,.498,14.2,29.4,.222
97,George Mason,32,20,12,.625,6.36,1.85,,9,9,,14,3,,5,7,,2273,2109,,65.0,109.2,.370,.370,.562,53.3,46.1,8.4,10.6,.523,15.7,31.7,.275
98,George Washington,32,15,17,.469,-1.03,-0.06,,4,14,,12,6,,1,9,,2457,2472,,70.4,106.2,.344,.419,.555,49.5,47.0,8.2,11.6,.518,15.2,25.9,.257
99,Georgetown,32,9,23,.281,0.68,7.72,,2,18,,7,12,,2,10,,2267,2492,,67.4,104.3,.339,.410,.523,50.1,50.5,8.4,8.6,.486,15.2,33.4,.242
100,Georgia,37,20,17,.541,8.63,8.63,,6,12,,13,6,,6,6,,2764,2764,,70.6,105.4,.366,.402,.536,48.4,46.2,9.0,8.4,.498,14.0,27.1,.263
101,Georgia Southern,33,9,24,.273,-8.44,-2.53,,8,10,,6,6,,2,14,,2420,2615,,70.1,103.5,.289,.445,.540,47.3,41.8,9.8,10.7,.508,16.3,28.8,.212
102,Georgia State,31,14,17,.452,-4.59,-2.59,,8,10,,9,5,,5,11,,2370,2319,,70.6,107.4,.285,.365,.531,49.3,42.8,8.1,7.5,.495,11.9,27.8,.216
103,Georgia Tech,32,14,18,.438,4.60,8.82,,7,13,,8,7,,4,9,,2272,2407,,68.2,102.5,.292,.405,.519,51.8,52.5,6.3,10.7,.487,15.2,31.6,.207
104,Gonzaga NCAA,35,27,8,.771,17.93,4.02,,14,2,,13,2,,8,2,,2959,2420,,69.8,121.1,.305,.312,.598,55.0,52.2,9.5,9.8,.574,12.1,33.9,.220
105,Grambling NCAA,36,21,15,.583,-9.63,-5.48,,14,4,,9,3,,7,9,,2436,2506,,66.9,100.1,.384,.280,.527,49.0,41.2,10.9,8.6,.487,17.0,29.8,.272
106,Grand Canyon NCAA,35,30,5,.857,10.45,-0.52,,17,3,,16,0,,8,3,,2769,2346,,69.8,112.9,.450,.363,.568,53.1,45.9,11.8,14.3,.521,15.0,34.4,.337
107,Green Bay,32,18,14,.563,-5.64,-4.07,,13,7,,10,5,,8,8,,2209,2207,,64.6,106.0,.289,.482,.557,50.4,52.8,6.7,5.9,.530,16.2,27.7,.209
108,Hampton,33,9,24,.273,-15.82,-5.29,,3,15,,5,9,,1,12,,2369,2520,,70.8,101.4,.294,.377,.517,49.8,49.4,8.3,9.9,.484,15.2,30.1,.210
109,Harvard,27,14,13,.519,-4.58,-2.08,,5,9,,9,5,,5,8,,1900,1937,,67.8,102.9,.348,.393,.538,48.6,52.8,9.1,11.9,.505,15.7,26.8,.244
110,Hawaii,34,20,14,.588,-0.07,-2.57,,11,9,,13,6,,4,6,,2458,2337,,67.4,106.1,.383,.422,.565,51.5,49.1,6.8,6.1,.530,16.3,26.4,.275
111,High Point,36,27,9,.750,2.15,-4.83,,13,3,,16,2,,7,5,,3020,2680,,69.3,119.4,.429,.406,.580,55.9,42.7,7.2,8.2,.531,13.3,37.4,.334
112,Hofstra,33,20,13,.606,2.31,-1.98,,12,6,,11,2,,5,10,,2449,2259,,66.6,111.0,.215,.464,.579,48.2,56.1,9.2,10.4,.557,14.0,23.6,.162
113,Holy Cross,33,10,23,.303,-17.12,-7.87,,6,12,,5,8,,4,14,,2194,2462,,65.4,101.2,.256,.379,.527,48.0,44.8,6.1,9.4,.506,14.9,24.1,.170
114,Houston NCAA,37,32,5,.865,25.69,9.80,,15,3,,17,0,,7,3,,2720,2132,,64.1,113.6,.308,.368,.531,52.3,49.3,15.1,16.0,.503,11.4,36.8,.211
115,Houston Christian,29,6,23,.207,-19.37,-3.89,,4,14,,5,8,,1,15,,2074,2420,,73.4,97.0,.363,.279,.505,49.2,43.5,7.6,6.5,.475,17.8,31.2,.234
116,Howard NCAA,35,18,17,.514,-8.69,-8.02,,9,5,,9,4,,6,9,,2623,2600,,69.4,106.5,.418,.392,.566,52.8,55.9,8.6,7.2,.522,18.9,34.4,.314
117,Idaho,32,11,21,.344,-11.29,-4.69,,5,13,,6,10,,4,10,,2170,2278,,65.9,102.6,.274,.408,.540,48.2,49.9,8.5,9.6,.510,15.4,24.1,.201
118,Idaho State,34,14,20,.412,-7.49,-5.11,,7,11,,8,5,,4,13,,2397,2383,,64.9,106.7,.329,.349,.545,51.5,46.6,10.6,9.6,.517,14.5,30.4,.226
119,Illinois NCAA,38,29,9,.763,19.56,9.54,,14,6,,15,3,,6,5,,3168,2787,,70.1,118.2,.371,.385,.572,55.2,45.8,6.2,8.2,.536,12.6,35.6,.273
120,Illinois State,32,15,17,.469,-1.38,0.43,,9,11,,10,6,,4,8,,2128,2165,,65.3,101.9,.360,.380,.519,51.1,53.8,8.5,6.6,.479,14.9,29.0,.256
121,Illinois-Chicago,33,12,21,.364,-1.61,1.30,,4,16,,6,9,,3,10,,2319,2361,,68.7,100.4,.259,.410,.536,47.7,54.4,8.8,14.1,.512,15.9,23.4,.179
122,Incarnate Word,31,8,23,.258,-16.40,-7.92,,3,15,,5,8,,3,14,,2240,2436,,71.9,99.6,.359,.397,.533,50.7,49.1,8.3,10.4,.494,19.1,30.3,.261
123,Indiana,33,19,14,.576,7.74,9.74,,10,10,,13,5,,4,6,,2386,2452,,69.4,104.2,.377,.278,.548,50.0,57.3,7.5,11.2,.521,15.5,27.0,.250
124,Indiana State,39,32,7,.821,13.44,2.26,,17,3,,16,1,,9,4,,3309,2854,,71.4,118.4,.334,.496,.632,52.6,61.2,8.5,4.5,.600,14.7,23.5,.266
125,Iona,33,16,17,.485,-5.19,-5.95,,10,10,,9,5,,5,8,,2354,2329,,68.0,104.9,.285,.387,.522,46.9,55.2,13.0,9.2,.500,13.0,28.3,.186
126,Iowa,34,19,15,.559,13.00,9.26,,10,10,,13,4,,4,9,,2827,2700,,72.6,114.0,.331,.299,.567,48.9,59.1,9.4,9.9,.528,11.6,27.4,.256
127,Iowa State NCAA,37,29,8,.784,22.30,8.51,,13,5,,18,0,,5,5,,2787,2277,,67.9,110.9,.354,.317,.551,50.5,58.1,15.2,10.8,.520,13.3,31.1,.248
128,IU Indy,32,6,26,.188,-21.31,-4.62,,2,18,,4,10,,2,14,,2108,2554,,68.8,95.3,.344,.251,.512,47.0,42.8,11.0,5.9,.469,18.5,30.3,.253
129,Jackson State,32,15,17,.469,-11.50,-7.15,,11,7,,6,2,,7,13,,2279,2418,,70.0,101.4,.347,.338,.509,50.7,48.1,10.6,9.9,.470,16.0,34.9,.244
130,Jacksonville,33,16,17,.485,-9.84,-4.87,,5,11,,11,3,,4,14,,2371,2389,,68.6,104.4,.359,.339,.528,53.3,42.5,11.2,9.0,.491,16.1,36.3,.253
131,Jacksonville State,32,14,18,.438,-3.55,-3.14,,6,10,,8,7,,5,10,,2240,2126,,67.1,104.0,.372,.285,.535,54.5,44.1,10.0,11.3,.499,17.1,33.9,.261
132,James Madison NCAA,36,32,4,.889,8.19,-3.75,,15,3,,14,1,,12,2,,2995,2506,,71.6,115.0,.342,.378,.572,53.2,53.8,12.5,8.3,.544,13.0,32.5,.240
133,Kansas NCAA,34,23,11,.676,16.35,11.32,,10,8,,15,1,,3,7,,2569,2376,,69.9,107.7,.320,.298,.567,51.7,67.4,10.2,11.0,.538,14.9,25.7,.231
134,Kansas City,32,16,16,.500,-5.32,-4.50,,10,6,,10,3,,6,9,,2300,2217,,67.3,105.2,.298,.426,.529,52.9,50.6,8.7,11.2,.498,15.1,32.6,.213
135,Kansas State,34,19,15,.559,11.06,9.97,,8,10,,15,3,,2,9,,2454,2417,,68.4,102.8,.383,.412,.541,51.9,56.8,8.5,10.6,.502,18.2,32.4,.276
136,Kennesaw State,31,15,16,.484,-8.02,-5.84,,6,10,,9,5,,4,11,,2568,2504,,75.4,109.0,.335,.436,.544,50.1,50.7,9.7,10.7,.518,13.7,30.7,.226
